slug,trade_name,hero_prompt,team_prompt,service_detail_prompt,testimonial_prompt,before_after_prompt
"roofing","Roofing Contractors","A confident roofing contractors professional at work on a job site, wide establishing shot, tools visible, work truck in soft-focus background, golden-hour lighting, photorealistic, natural daylight, candid documentary style, shallow depth of field, shot on 35mm, no text or logos, no watermarks","A 2-3 person roofing contractors crew standing together in front of their branded work van, friendly and approachable, uniforms/workwear, midday light, photorealistic, natural daylight, candid documentary style, shallow depth of field, shot on 35mm, no text or logos, no watermarks","Close-up detail shot of hands performing a core roofing contractors task, focus on technique and tools, shallow DOF, photorealistic, natural daylight, candid documentary style, shallow depth of field, shot on 35mm, no text or logos, no watermarks","A satisfied homeowner or business owner customer standing in front of their property, smiling, mid-conversation candid feel, photorealistic, natural daylight, candid documentary style, shallow depth of field, shot on 35mm, no text or logos, no watermarks","Split before-and-after comparison of a roofing contractors project — same angle, same location, left half showing the problem/original condition, right half showing the completed work, consistent lighting, photorealistic, natural daylight, candid documentary style, shallow depth of field, shot on 35mm, no text or logos, no watermarks"
"general-contractors","General Contractors","A confident general contractors professional at work on a job site, wide establishing shot, tools visible, work truck in soft-focus background, golden-hour lighting, photorealistic, natural daylight, candid documentary style, shallow depth of field, shot on 35mm, no text or logos, no watermarks","A 2-3 person general contractors crew standing together in front of their branded work van, friendly and approachable, uniforms/workwear, midday light, photorealistic, natural daylight, candid documentary style, shallow depth of field, shot on 35mm, no text or logos, no watermarks","Close-up detail shot of hands performing a core general contractors task, focus on technique and tools, shallow DOF, photorealistic, natural daylight, candid documentary style, shallow depth of field, shot on 35mm, no text or logos, no watermarks","A satisfied homeowner or business owner customer standing in front of their property, smiling, mid-conversation candid feel, photorealistic, natural daylight, candid documentary style, shallow depth of field, shot on 35mm, no text or logos, no watermarks","Split before-and-after comparison of a general contractors project — same angle, same location, left half showing the problem/original condition, right half showing the completed work, consistent lighting, photorealistic, natural daylight, candid documentary style, shallow depth of field, shot on 35mm, no text or logos, no watermarks"
"concrete-paving","Concrete & Asphalt Pavers","A confident concrete & asphalt pavers professional at work on a job site, wide establishing shot, tools visible, work truck in soft-focus background, golden-hour lighting, photorealistic, natural daylight, candid documentary style, shallow depth of field, shot on 35mm, no text or logos, no watermarks","A 2-3 person concrete & asphalt pavers crew standing together in front of their branded work van, friendly and approachable, uniforms/workwear, midday light, photorealistic, natural daylight, candid documentary style, shallow depth of field, shot on 35mm, no text or logos, no watermarks","Close-up detail shot of hands performing a core concrete & asphalt pavers task, focus on technique and tools, shallow DOF, photorealistic, natural daylight, candid documentary style, shallow depth of field, shot on 35mm, no text or logos, no watermarks","A satisfied homeowner or business owner customer standing in front of their property, smiling, mid-conversation candid feel, photorealistic, natural daylight, candid documentary style, shallow depth of field, shot on 35mm, no text or logos, no watermarks","Split before-and-after comparison of a concrete & asphalt pavers project — same angle, same location, left half showing the problem/original condition, right half showing the completed work, consistent lighting, photorealistic, natural daylight, candid documentary style, shallow depth of field, shot on 35mm, no text or logos, no watermarks"
"masonry","Masonry & Bricklaying","A confident masonry & bricklaying professional at work on a job site, wide establishing shot, tools visible, work truck in soft-focus background, golden-hour lighting, photorealistic, natural daylight, candid documentary style, shallow depth of field, shot on 35mm, no text or logos, no watermarks","A 2-3 person masonry & bricklaying crew standing together in front of their branded work van, friendly and approachable, uniforms/workwear, midday light, photorealistic, natural daylight, candid documentary style, shallow depth of field, shot on 35mm, no text or logos, no watermarks","Close-up detail shot of hands performing a core masonry & bricklaying task, focus on technique and tools, shallow DOF, photorealistic, natural daylight, candid documentary style, shallow depth of field, shot on 35mm, no text or logos, no watermarks","A satisfied homeowner or business owner customer standing in front of their property, smiling, mid-conversation candid feel, photorealistic, natural daylight, candid documentary style, shallow depth of field, shot on 35mm, no text or logos, no watermarks","Split before-and-after comparison of a masonry & bricklaying project — same angle, same location, left half showing the problem/original condition, right half showing the completed work, consistent lighting, photorealistic, natural daylight, candid documentary style, shallow depth of field, shot on 35mm, no text or logos, no watermarks"
"framing-drywall","Framing & Drywall","A confident framing & drywall professional at work on a job site, wide establishing shot, tools visible, work truck in soft-focus background, golden-hour lighting, photorealistic, natural daylight, candid documentary style, shallow depth of field, shot on 35mm, no text or logos, no watermarks","A 2-3 person framing & drywall crew standing together in front of their branded work van, friendly and approachable, uniforms/workwear, midday light, photorealistic, natural daylight, candid documentary style, shallow depth of field, shot on 35mm, no text or logos, no watermarks","Close-up detail shot of hands performing a core framing & drywall task, focus on technique and tools, shallow DOF, photorealistic, natural daylight, candid documentary style, shallow depth of field, shot on 35mm, no text or logos, no watermarks","A satisfied homeowner or business owner customer standing in front of their property, smiling, mid-conversation candid feel, photorealistic, natural daylight, candid documentary style, shallow depth of field, shot on 35mm, no text or logos, no watermarks","Split before-and-after comparison of a framing & drywall project — same angle, same location, left half showing the problem/original condition, right half showing the completed work, consistent lighting, photorealistic, natural daylight, candid documentary style, shallow depth of field, shot on 35mm, no text or logos, no watermarks"
"decks-patios","Decks & Patio Builders","A confident decks & patio builders professional at work on a job site, wide establishing shot, tools visible, work truck in soft-focus background, golden-hour lighting, photorealistic, natural daylight, candid documentary style, shallow depth of field, shot on 35mm, no text or logos, no watermarks","A 2-3 person decks & patio builders crew standing together in front of their branded work van, friendly and approachable, uniforms/workwear, midday light, photorealistic, natural daylight, candid documentary style, shallow depth of field, shot on 35mm, no text or logos, no watermarks","Close-up detail shot of hands performing a core decks & patio builders task, focus on technique and tools, shallow DOF, photorealistic, natural daylight, candid documentary style, shallow depth of field, shot on 35mm, no text or logos, no watermarks","A satisfied homeowner or business owner customer standing in front of their property, smiling, mid-conversation candid feel, photorealistic, natural daylight, candid documentary style, shallow depth of field, shot on 35mm, no text or logos, no watermarks","Split before-and-after comparison of a decks & patio builders project — same angle, same location, left half showing the problem/original condition, right half showing the completed work, consistent lighting, photorealistic, natural daylight, candid documentary style, shallow depth of field, shot on 35mm, no text or logos, no watermarks"
"hvac","HVAC Technicians","A confident hvac technicians professional at work on a job site, wide establishing shot, tools visible, work truck in soft-focus background, golden-hour lighting, photorealistic, natural daylight, candid documentary style, shallow depth of field, shot on 35mm, no text or logos, no watermarks","A 2-3 person hvac technicians crew standing together in front of their branded work van, friendly and approachable, uniforms/workwear, midday light, photorealistic, natural daylight, candid documentary style, shallow depth of field, shot on 35mm, no text or logos, no watermarks","Close-up detail shot of hands performing a core hvac technicians task, focus on technique and tools, shallow DOF, photorealistic, natural daylight, candid documentary style, shallow depth of field, shot on 35mm, no text or logos, no watermarks","A satisfied homeowner or business owner customer standing in front of their property, smiling, mid-conversation candid feel, photorealistic, natural daylight, candid documentary style, shallow depth of field, shot on 35mm, no text or logos, no watermarks","Split before-and-after comparison of a hvac technicians project — same angle, same location, left half showing the problem/original condition, right half showing the completed work, consistent lighting, photorealistic, natural daylight, candid documentary style, shallow depth of field, shot on 35mm, no text or logos, no watermarks"
"plumbing","Plumbers","A confident plumbers professional at work on a job site, wide establishing shot, tools visible, work truck in soft-focus background, golden-hour lighting, photorealistic, natural daylight, candid documentary style, shallow depth of field, shot on 35mm, no text or logos, no watermarks","A 2-3 person plumbers crew standing together in front of their branded work van, friendly and approachable, uniforms/workwear, midday light, photorealistic, natural daylight, candid documentary style, shallow depth of field, shot on 35mm, no text or logos, no watermarks","Close-up detail shot of hands performing a core plumbers task, focus on technique and tools, shallow DOF, photorealistic, natural daylight, candid documentary style, shallow depth of field, shot on 35mm, no text or logos, no watermarks","A satisfied homeowner or business owner customer standing in front of their property, smiling, mid-conversation candid feel, photorealistic, natural daylight, candid documentary style, shallow depth of field, shot on 35mm, no text or logos, no watermarks","Split before-and-after comparison of a plumbers project — same angle, same location, left half showing the problem/original condition, right half showing the completed work, consistent lighting, photorealistic, natural daylight, candid documentary style, shallow depth of field, shot on 35mm, no text or logos, no watermarks"
"electricians","Electricians","A confident electricians professional at work on a job site, wide establishing shot, tools visible, work truck in soft-focus background, golden-hour lighting, photorealistic, natural daylight, candid documentary style, shallow depth of field, shot on 35mm, no text or logos, no watermarks","A 2-3 person electricians crew standing together in front of their branded work van, friendly and approachable, uniforms/workwear, midday light, photorealistic, natural daylight, candid documentary style, shallow depth of field, shot on 35mm, no text or logos, no watermarks","Close-up detail shot of hands performing a core electricians task, focus on technique and tools, shallow DOF, photorealistic, natural daylight, candid documentary style, shallow depth of field, shot on 35mm, no text or logos, no watermarks","A satisfied homeowner or business owner customer standing in front of their property, smiling, mid-conversation candid feel, photorealistic, natural daylight, candid documentary style, shallow depth of field, shot on 35mm, no text or logos, no watermarks","Split before-and-after comparison of a electricians project — same angle, same location, left half showing the problem/original condition, right half showing the completed work, consistent lighting, photorealistic, natural daylight, candid documentary style, shallow depth of field, shot on 35mm, no text or logos, no watermarks"
"locksmiths","Locksmiths","A confident locksmiths professional at work on a job site, wide establishing shot, tools visible, work truck in soft-focus background, golden-hour lighting, photorealistic, natural daylight, candid documentary style, shallow depth of field, shot on 35mm, no text or logos, no watermarks","A 2-3 person locksmiths crew standing together in front of their branded work van, friendly and approachable, uniforms/workwear, midday light, photorealistic, natural daylight, candid documentary style, shallow depth of field, shot on 35mm, no text or logos, no watermarks","Close-up detail shot of hands performing a core locksmiths task, focus on technique and tools, shallow DOF, photorealistic, natural daylight, candid documentary style, shallow depth of field, shot on 35mm, no text or logos, no watermarks","A satisfied homeowner or business owner customer standing in front of their property, smiling, mid-conversation candid feel, photorealistic, natural daylight, candid documentary style, shallow depth of field, shot on 35mm, no text or logos, no watermarks","Split before-and-after comparison of a locksmiths project — same angle, same location, left half showing the problem/original condition, right half showing the completed work, consistent lighting, photorealistic, natural daylight, candid documentary style, shallow depth of field, shot on 35mm, no text or logos, no watermarks"
